https://twitter.com/Yokohama_Geo/status/1547159498074501121

n , j     , e        , x, y, w, h, c
01, 北海道, Hokkaido ,11, 0, 1, 2, 0
02, 青森  , Aomori   ,11, 2, 1, 2, 1
03, 岩手  , Iwate    ,11, 4, 1, 2, 1
04, 宮城  , Miyagi   ,11, 6, 1, 2, 1
05, 秋田  , Akita    ,10, 4, 1, 2, 1
06, 山形  , Yamagata ,10, 6, 1, 2, 1
07, 福島  , Fukushima,11, 8, 1, 2, 1
08, 茨城  , Ibaraki  ,12,10, 1, 2, 2
09, 栃木  , Tochigi  ,11,10, 1, 2, 2
10, 群馬  , Gumma    ,10,10, 1, 2, 2
11, 埼玉  , Saitama  ,11,12, 1, 2, 2
12, 千葉  , Chiba    ,12,12, 1, 2, 2
13, 東京  , Tokyo    ,11,14, 1, 2, 2
14, 神奈川, Kanagawa ,10,14, 1, 2, 2
15, 新潟  , Niigata  ,10, 8, 1, 2, 2
16, 富山  , Toyama   , 9, 9, 1, 2, 3
17, 石川  , Ishikawa , 8, 8, 1, 2, 3
18, 福井  , Fukui    , 7, 8, 1, 2, 3
19, 山梨  , Yamanashi,10,12, 1, 2, 2
20, 長野  , Nagano   , 9,11, 1, 2, 3
21, 岐阜  , Gifu     , 8,10, 1, 2, 3
22, 静岡  , Shizuoka , 9,13, 1, 2, 3
23, 愛知  , Aichi    , 8,12, 1, 2, 3
24, 三重  , Mie      , 7,14, 1, 2, 3
25, 滋賀  , Shiga    , 7,10, 1, 2, 4
26, 京都  , Kyoto    , 6,10, 1, 2, 4
27, 大阪  , Osaka    , 6,12, 1, 2, 4
28, 兵庫  , Hyogo    , 5,10, 1, 2, 4
29, 奈良  , Nara     , 7,12, 1, 2, 4
30, 和歌山, Wakayama , 6,14, 1, 2, 4
31, 鳥取  , Tottori  , 4, 8, 1, 2, 5
32, 島根  , Shimane  , 3, 8, 1, 2, 5
33, 岡山  , Okayama  , 4,10, 1, 2, 5
34, 広島  , Hiroshima, 3,10, 1, 2, 5
35, 山口  , Yamaguchi, 2, 9, 1, 2, 5
36, 徳島  , Tokushima, 4,15, 1, 2, 6
37, 香川  , Kagawa   , 4,13, 1, 2, 6
38, 愛媛  , Ehime    , 3,13, 1, 2, 6
39, 高知  , Kochi    , 3,15, 1, 2, 6
40, 福岡  , Fukuoka  , 1, 8, 1, 2, 7
41, 佐賀  , Saga     , 0, 8, 1, 2, 7
42, 長崎  , Nagasaki , 0,10, 1, 2, 7
43, 熊本  , Kumamoto , 0,12, 1, 2, 7
44, 大分  , Oita     , 1,10, 1, 2, 7
45, 宮崎  , Miyazaki , 1,12, 1, 2, 7
46, 鹿児島, Kagoshima, 0,14, 1, 2, 7
47, 沖縄  , Okinawa  , 0,16, 1, 2, 7
